phylum	class	order	family	genus	species	subsp	subsub	key	strain
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster A	AB040749	Aichi virus genomic RNA
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster B	AY747174	Aichi virus isolate BAY/1/03/DEU from Germany
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster B	GQ927711	Aichi virus strain D/VI2287/2004
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster B	JX564249	Aichi virus strain kvgh99012632/2010
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster C	DQ028632	Aichi virus isolate Goiania/GO/03/01/Brazil
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster C	GQ927704	Aichi virus strain D/VI2169/2004
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster C	GQ927712	Aichi virus strain D/VI2244/2004
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster C	GQ927706	Aichi virus strain D/VI2321/2004
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus	cluster C	GQ927705	Aichi virus strain D/VI2359/2004
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus		FJ890523	Aichi virus isolate Chshc7
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Canine kobuvirus		KM068050	Canine kobuvirus 1 isolate 75
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Canine kobuvirus		KM068048	Canine kobuvirus 1 isolate DD2
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Canine kobuvirus		JQ911763	Canine kobuvirus CH-1
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Canine kobuvirus		JN088541	Canine kobuvirus US-PC0082
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Canine kobuvirus		KJ958930	Feline kobuvirus isolate 12D240
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Canine kobuvirus		KM091960	Feline kobuvirus strain FeKoV/TE/52/IT/13
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Kobuvirus		KJ934637	Kobuvirus SZAL6-KoV/2011/HUN
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus C	Porcine kobuvirus		GU292559	Kobuvirus pig/JY-2010a/CHN isolate Y-1-CHI
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus C	Porcine kobuvirus		KJ452348	Porcine kobuvirus isolate CH/DX/2012
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus C	Porcine kobuvirus		NC_016769	Porcine kobuvirus SH-W-CHN/2010/China
"ssRNA positive-strand viruses, no DNA stage"		Picornavirales	Picornaviridae	Kobuvirus	Aichivirus C	Porcine kobuvirus		GQ249161	Porcine kobuvirus swine/K-30-HUN/2008/HUN
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	HMO		KF859964	Human astrovirus BF34
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	HMO		JX857869	VA4/human/Nepal/S5363/2008
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	HMO		KM358468	Human astrovirus UK1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	HMO		JX857868	VA3/human/Vellore/28054/2005
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB1		JQ086552	SY071
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB1		FJ222451	MLB1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB1		FJ402983	WD0016
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB1		AB823732	BtnMLB1-86
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB1		AB823731	BtnMLB1-40
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB1		LC064152	NAGANO1545
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB2		KX022687	MLB2-LIHT
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB2		KT224358	MLB2/human/Geneva/2014
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB2		AB829252	GUP187
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB2		JF742759	Stl/WD0559
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Astrovirus	Mamastrovirus 6	MLB3		JX857870	MLB3/Vellore/26564
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318315	Bastrovirus 1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318318	Bastrovirus 2
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318317	Bastrovirus 3
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318320	Bastrovirus 4
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318319	Bastrovirus 5
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318316	Bastrovirus 6
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bastrovirus				KU318321	Bastrovirus 7
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Bovine astrovirus				KX266908	CH13/NeuroS1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster A	FJ755402	Human astrovirus 1 Beijing/128/2005/CHN
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster A	FJ755405	Human astrovirus 1 Beijing/293/2007/CHN
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster B	FJ755403	Human astrovirus 1 Beijing/176/2006/CHN
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster B	KF211475	Human astrovirus 1 isolate JZ
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster B	JN887820	Human astrovirus 1 strain lhar/2011/kor
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster B	AY720892	Human astrovirus type 1 strain Dresden
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster C	HQ398856	Human astrovirus 1 strain Hu/Nyergesujfalu/HUN4520/2010/HUN
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster C	Z25771	Human astrovirus type 1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	cluster C	L23513	Human astrovirus type 1 strain Oxford ATVPOLY6A 
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 2		KF039910	Human astrovirus 2 isolate Rus-Nsc05-430
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 2		KF039911	Human astrovirus 2 isolate Rus-Nsc06-1029
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 3		GU223905	Human astrovirus 3 isolate Rus-Nsc03-H191
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 3		JF491430	Human astrovirus 3 isolate Rus-Nsc04-H355
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 3		GU732187	Human astrovirus 3 isolate Rus-Nsc08-3364
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	cluster A	DQ344027	Human astrovirus 4 isolate Guangzhou from China
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	cluster A	KF039913	Human astrovirus 4 isolate Rus-Nsc10-N358
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	cluster B	DQ070852	Human astrovirus 4 isolate Goiania/GO/12/95/Brazil
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	cluster C	KF039912	Human astrovirus 4 isolate Rus-Nsc05-623
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	cluster D	AY720891	Human astrovirus type 4 strain Dresden
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 5		JQ403108	Human astrovirus 5 isolate DL030
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 5		DQ028633	Human astrovirus 5 isolate Goiania/GO/12/94/Brazil
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 6		GQ495608	Human astrovirus 6 isolate 192-BJ07-CHN
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 6		GQ901902	Human astrovirus 6 isolate Rus-Nsc09-B4
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 6		HM237363	Human astrovirus 6 isolate Katano
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8		AF260508	Human astrovirus type 8
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 8			GQ502193	Astrovirus VA2
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 8			GQ415660	Mamastrovirus 8/HMO-A
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 9			GQ891990	Astrovirus PS
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 9			KJ920197	Astrovirus VA1/HMO-C
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 9			FJ973620	Astrovirus VA1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Mamastrovirus	Mamastrovirus 9			KY933670	Astrovirus VA1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Murine astrovirus				JX544743	STL 1
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Porcine astrovirus 5				JX556693	AstV5-US-IA122
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Porcine Bastrovirus				KX907134	17489_85
"ssRNA positive-strand viruses, no DNA stage"			Astroviridae	Primate astrovirus				KX273058	SimianAstV
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039725	Norovirus Hu/GI.1/CHA7A009/2010/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039726	Norovirus Hu/GI.1/CHA6A003_20091031/2009/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039727	Norovirus Hu/GI.1/CHA6A003_20091028/2009/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039728	Norovirus Hu/GI.1/CHA2A014/2008/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039729	Norovirus Hu/GI.1/CHA6A007/2010/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039730	Norovirus Hu/GI.1/CHA9A004_20110419/2011/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039731	Norovirus Hu/GI.1/CH4XO533/2009/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039732	Norovirus Hu/GI.1/CHA5A010/2009/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039733	Norovirus Hu/GI.1/CHA9A004_20110426/2011/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039734	Norovirus Hu/GI.1/CHA6A014/2009/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039735	Norovirus Hu/GI.1/CHA3A007/2008/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039736	Norovirus Hu/GI.1/CHA7A011/2010/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF039737	Norovirus Hu/GI.1/CHA6A003_20091104/2009/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429765	Norovirus Hu/GI.1/8W/1968/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429783	Norovirus Hu/GI.1/8K/1979/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429761	Norovirus Hu/GI.1/8MoIIIL/1972/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429774	Norovirus Hu/GI.1/8UIIIf/1973/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429789	Norovirus Hu/GI.1/8MC/1978/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429770	Norovirus Hu/GI.1/8McIII/1973/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		KF429773	Norovirus Hu/GI.1/8CKIIIc/1974/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		JX023285	Norovirus Hu/GI.1/8FIIa/1968/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.1		NC_001959	Norovirus GI
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.2		FJ515294	Norovirus Hu/GI/Leuven/2003/BEL
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.2		KF306212	Norovirus Hu/GI/Jingzhou/2013401/CHN
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.2		L07418	SOUCAPPRO Southampton virus
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.2		DQ456824	Norovirus Hu/MK04/2004/JP
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.3		AB187514	Norovirus Hu/GI/Otofuke/1979/JP
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.3		KJ194510	Norovirus Hu/GI/Amsterdam/2/1995 isolate NV_Amsterdam_2_1995
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.3		KJ196292	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.3		JQ911594	Norovirus Hu/GI/10360/2010/VNM
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.4		AB042808	Chiba virus
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.4		LN854563	Norovirus GI/Hu/NL/2011/GI.4/Groningen
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.5		AB039774	Norwalk-like virus SzUG1
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.6		AF093797	Norwalk virus
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.6		JQ388274	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.6		LN854564	Norovirus GI/Hu/NL/2012/GI.6/Groningen
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.6		KP407451	Norovirus GI strain GI/Hu/CHN/2008/Huzhou/N11
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.6		AB081723	Norwalk-like virus WUG1
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.7		KU311161	Norovirus Hu/GI.7/AlbertaEI404/2012/CA isolate OU4
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.8		KJ196298	Norovirus GI/Hu/JP/2007/GI.P8_GI.8/Nagoya/KY531
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.8		KP407450	Norovirus GI strain Hu/CHN/2008/GI.P8_GI.8/Huzhou/N10
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GI.9		KF586507	Norovirus GI.9 isolate CAIQ12110628
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.1		U07611	Hawaii calicivirus HCU07611 
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.1		LN854570	Norovirus GII/Hu/NL/2014/GII/Groningen
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.11		AB126320	Norovirus GII/Hu/JP/2001/GII.P12_GII.12/Saitama/T18
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.11		HQ392821	Norovirus pig/GII/Ch6/China/2009
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:10	AY237415	Norovirus GII/Hu/JP/2001/GII.P12_GII.12/Saitama/T15
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:12	KJ196282	Norwalk-like virus
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:12	KJ196299	Norovirus GII
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:12	AB044366	"Norwalk-like virus, specimen_voucher: Gifu'96"
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:12	NC_029646	Norovirus GII/Hu/JP/2000/GII.P12_GII.12/Saitama/KU16
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:12	AB045603	Norovirus Hu/GII/30448/2010/VNM
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	P12:12	KJ196294	Norovirus Hu/GII/C2033/2010/VNM
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KM198492	Norovirus Hu/GII.12/CGMH39/2010/TW
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KM198503	Norovirus Hu/GII.12/CGMH41/2010/TW
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KC464497	Norovirus Hu/GII.12/CGMH38/2010/TW
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KC464499	Norovirus Hu/GII.12/CGMH42/2010/TW
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KC464496	Norovirus Hu/GII.12/CGMH40/2010/TW
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KC464500	Norovirus Hu/GII.12/HS210/2010/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	KC464498	Norovirus Hu/GII.12/HS206/2010/USA
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	HQ449728	Norovirus Hu/GII.g-GII.12/StGeorge/NSW199U/2008/AU
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	HQ664990	Norovirus Hu/GII.g-GII.12/Wahroonga/NSW004P/2009/AU
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	GQ845370	Norovirus Hu/GII.g-GII.12/Gunnedah/NSW895P/2010/AU
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	JQ613568	Norovirus GII/Hu/JP/2002/GII.P12_GII.13/Saitama/T80
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.12	Pg:12	JQ613569	Norovirus Hu/GII/Hy-718/KOR
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.13		KJ196276	Norovirus Hu/GII.P16/GII.13/New/Taipei/13-BA-1/2013/TW
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.13		KC662537	Norovirus Hu/Shanxi/50106/2006/CHN
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.14		EF670650	Norovirus Hu/GII.14/8610/Saga/2008/JPN
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.14		GU017903	Norovirus GII/Hu/JP/2007/GII.P7_GII.14/Sendai/YG99
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.14		GU594162	Norovirus GII/Hu/JP/2007/GII.P7_GII.14/Fukuoka/KK282
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.14		KJ196278	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.14		KJ196297	Norovirus Hu/NLV/GII/Neustrelitz260/2000/DE from Germany
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.15		KJ196290	Norovirus GII/Hu/JP/2002/GII.P16_GII.17/Saitama/T87
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.16		AY772730	Norovirus Hu/GII.17/1711/GD-JM/2014-12-26
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KU557786	Norovirus GII isolate Hu/Guangzhou/GZ2014-L311/CHN/2014
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KU557787	Norovirus GII isolate Hu/Guangzhou/GZ2014-L313/CHN/2014
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT970369	Norovirus GII isolate Hu/Guangzhou/GZ2015-L324/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT970373	Norovirus GII isolate Hu/Guangzhou/GZ2015-L340/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT970374	Norovirus GII isolate Hu/Guangzhou/GZ2015-L343/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT970375	Norovirus GII isolate Hu/Guangzhou/GZ2015-L362/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT970376	Norovirus Hu/GII.17/1085/GD-MM/2014-11-04
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT970377	Norovirus Hu/GII.17/2238/GD-JM/2013-08-30
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KU557785	Norovirus Hu/GII.17/HN01/Nanyang/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KU557788	Norovirus Hu/GII.17/HN04/Nanyang/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT992786	Norovirus Hu/GII.17/HN05/Nanyang/CHN/2015
"ssRNA positive-strand viruses, no DNA stage"			Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17		KT992787	Norovirus Hu/GII.17/1548/GD-MM/2014
